video_name,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26
air_show_1080_1670_p1.mkv,5,4,5,3,4,4,3,4,4,5,3,2,3,4,3,4,3,4,4,4,4,5,4,2,4,4
air_show_1080_1670_p2.mkv,4,2,3,4,3,3,3,3,4,4,2,2,4,4,4,4,2,4,4,3,4,4,4,3,2,5
air_show_1080_350_p1.mkv,2,2,2,2,3,1,3,2,2,1,1,1,2,2,2,2,1,3,2,3,2,2,2,2,2,2
air_show_1080_350_p2.mkv,2,2,1,2,3,2,2,2,2,3,2,1,3,1,4,3,2,3,3,3,4,4,3,2,2,3
air_show_1080_8000_p1.mkv,4,3,4,5,5,3,4,4,4,5,4,3,5,5,5,5,2,4,4,4,4,5,4,4,3,4
air_show_1080_8000_p2.mkv,3,2,3,3,5,3,3,3,3,3,3,2,4,3,5,3,2,5,4,4,4,4,4,4,3,4
air_show_2160_10000_p1.mkv,5,3,5,4,4,5,5,5,4,5,3,4,5,5,3,3,3,3,4,5,4,5,5,4,4,5
air_show_2160_10000_p2.mkv,4,3,5,5,4,3,4,4,4,5,3,3,5,4,5,3,3,4,4,4,4,5,4,5,4,5
air_show_2160_3000_p1.mkv,4,3,5,4,4,3,4,4,3,4,3,2,4,5,4,4,2,4,5,5,3,4,4,4,3,5
air_show_2160_3000_p2.mkv,4,3,5,5,3,4,3,5,4,5,4,3,4,5,3,4,3,5,5,4,4,5,5,4,4,4
air_show_2160_5480_p1.mkv,5,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,3,5,5,5,3,5,5,5,4,5
air_show_2160_5480_p2.mkv,5,3,4,5,4,3,3,4,4,4,4,3,5,5,4,5,3,5,5,4,4,5,5,3,4,5
air_show_540_200_p1.mkv,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,1,4,2,3,2,3,2,2,2,2
air_show_540_200_p2.mkv,3,2,2,1,2,2,2,2,2,3,2,1,2,2,3,2,1,3,3,3,2,3,2,3,2,2
air_show_540_350_p1.mkv,3,2,2,3,3,2,2,3,2,2,1,2,3,2,2,2,1,3,3,3,2,3,2,3,2,3
air_show_540_350_p2.mkv,3,2,3,2,2,2,2,3,2,3,2,2,3,3,3,2,1,4,3,3,2,3,3,2,2,4
air_show_540_600_p1.mkv,3,2,2,3,3,3,3,3,3,1,3,2,3,3,3,3,2,3,3,4,3,4,3,2,2,3
air_show_540_600_p2.mkv,3,2,2,2,3,2,2,3,3,3,2,2,3,3,2,3,1,3,4,3,2,3,3,4,3,2
bbb_1080_1670_p1.mkv,4,3,4,3,4,3,3,4,3,4,4,3,4,3,2,3,3,3,4,4,4,4,4,4,4,4
bbb_1080_1670_p2.mkv,4,4,3,3,5,3,4,3,4,4,2,2,4,3,4,4,3,5,4,3,4,4,4,5,4,3
bbb_1080_350_p1.mkv,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1
bbb_1080_350_p2.mkv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bbb_1080_8000_p1.mkv,5,4,5,4,5,5,5,4,4,5,5,4,5,4,5,5,3,5,5,4,5,5,5,5,5,5
bbb_1080_8000_p2.mkv,5,3,5,5,5,4,4,4,4,5,4,4,5,4,5,5,3,4,5,4,4,5,4,5,5,5
bbb_2160_10000_p1.mkv,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5
bbb_2160_10000_p2.mkv,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5
bbb_2160_3000_p1.mkv,4,4,5,4,5,4,4,4,3,5,4,2,5,3,5,4,4,4,5,3,4,5,5,5,4,5
bbb_2160_3000_p2.mkv,4,3,5,4,4,4,4,4,4,5,5,4,5,5,5,4,4,5,4,5,4,4,5,5,4,3
bbb_2160_5480_p1.mkv,5,4,5,5,5,5,4,4,5,5,5,4,5,5,5,4,3,5,5,5,5,5,4,5,5,5
bbb_2160_5480_p2.mkv,5,4,4,5,5,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5
bbb_540_200_p1.mkv,1,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
bbb_540_200_p2.mkv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1
bbb_540_350_p1.mkv,2,2,2,1,3,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,3,2,2,2
bbb_540_350_p2.mkv,2,2,2,1,2,2,2,2,2,2,1,1,3,2,2,3,1,2,2,2,2,2,2,2,2,2
bbb_540_600_p1.mkv,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,4,3,3,2,3,3,2,2,2
bbb_540_600_p2.mkv,3,2,3,2,3,2,2,3,2,3,1,2,3,2,3,4,2,3,3,3,2,3,3,2,2,2
fjord_1080_1670_p1.mkv,3,3,4,4,4,3,3,3,3,4,5,1,3,3,4,3,3,3,3,3,3,3,4,4,3,4
fjord_1080_1670_p2.mkv,3,3,2,2,3,3,3,3,3,3,4,3,3,2,3,3,3,4,4,3,4,3,3,4,4,4
fjord_1080_350_p1.mkv,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2
fjord_1080_350_p2.mkv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fjord_1080_8000_p1.mkv,4,3,4,4,5,4,4,5,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,5,4
fjord_1080_8000_p2.mkv,4,3,3,4,5,4,4,4,4,5,5,3,4,4,5,4,3,5,5,4,5,4,5,4,4,5
fjord_2160_10000_p1.mkv,5,4,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,4,5,4,5,4,5,4,4,5
fjord_2160_10000_p2.mkv,4,4,5,4,5,4,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,4
fjord_2160_3000_p1.mkv,5,3,4,3,5,3,3,4,3,4,4,2,3,4,4,4,3,3,5,4,3,3,4,5,4,4
fjord_2160_3000_p2.mkv,4,3,4,3,3,3,3,4,3,4,4,3,3,4,4,4,5,4,4,4,5,4,4,5,4,3
fjord_2160_5480_p1.mkv,5,3,4,4,5,5,4,4,4,4,5,3,5,3,5,4,3,5,5,4,4,4,5,5,4,4
fjord_2160_5480_p2.mkv,4,3,4,3,4,4,4,4,4,5,5,3,4,5,4,4,3,4,4,5,5,4,5,5,5,4
fjord_540_200_p1.mkv,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1
fjord_540_200_p2.mkv,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1
fjord_540_350_p1.mkv,2,2,1,1,2,2,1,1,1,2,1,1,2,2,3,2,1,2,2,2,2,2,2,2,1,2
fjord_540_350_p2.mkv,1,2,2,1,2,2,2,2,1,2,1,1,2,1,3,2,2,2,2,2,2,2,2,2,1,2
fjord_540_600_p1.mkv,1,2,3,2,2,2,2,3,2,2,2,1,3,2,2,2,2,3,1,2,3,2,2,2,2,4
fjord_540_600_p2.mkv,1,3,2,1,3,1,2,3,2,2,2,2,2,2,3,2,2,4,2,3,2,2,2,2,2,2
moment_of_intensity_1080_1670_p1.mkv,3,3,3,3,4,3,3,4,3,1,4,4,3,4,5,4,2,3,4,4,4,4,3,3,4,3
moment_of_intensity_1080_1670_p2.mkv,4,3,4,4,4,3,3,4,3,4,4,3,4,3,4,4,2,3,4,3,4,4,4,3,4,4
moment_of_intensity_1080_350_p1.mkv,1,2,2,2,2,2,1,2,2,1,2,1,2,4,2,2,1,3,3,2,2,3,2,2,2,1
moment_of_intensity_1080_350_p2.mkv,3,2,3,1,2,2,3,3,2,2,2,1,2,2,2,3,1,3,3,2,3,3,2,2,2,2
moment_of_intensity_1080_8000_p1.mkv,5,4,5,4,4,4,4,5,4,5,5,4,4,5,4,4,3,4,5,4,5,4,4,4,3,4
moment_of_intensity_1080_8000_p2.mkv,3,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,2,5,5,3,5,4,5,4,4,4
moment_of_intensity_2160_10000_p1.mkv,4,4,4,4,4,5,4,5,4,4,4,5,4,5,4,4,3,4,5,4,4,5,4,4,4,4
moment_of_intensity_2160_10000_p2.mkv,4,4,4,5,4,5,5,5,5,4,5,5,5,5,5,4,3,5,5,3,4,5,5,4,4,5
moment_of_intensity_2160_3000_p1.mkv,4,3,3,3,4,4,4,4,4,5,5,3,4,4,4,3,3,4,4,3,5,4,4,3,4,3
moment_of_intensity_2160_3000_p2.mkv,4,3,3,3,4,4,4,4,4,4,3,5,4,5,4,3,3,4,5,3,5,4,3,4,4,4
moment_of_intensity_2160_5480_p1.mkv,4,4,3,4,4,5,4,4,5,5,5,4,4,5,5,4,2,4,4,4,5,5,5,5,4,4
moment_of_intensity_2160_5480_p2.mkv,4,4,4,4,4,4,4,5,4,4,4,3,4,5,4,4,3,4,5,4,4,5,4,4,5,4
moment_of_intensity_540_200_p1.mkv,2,1,3,2,2,2,2,2,1,2,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2
moment_of_intensity_540_200_p2.mkv,1,2,3,2,2,1,1,2,2,2,2,1,2,1,2,3,1,2,2,2,2,2,2,2,2,2
moment_of_intensity_540_350_p1.mkv,2,2,2,3,3,2,2,3,3,2,2,1,3,2,2,2,1,3,3,3,2,3,2,3,2,2
moment_of_intensity_540_350_p2.mkv,3,2,2,2,3,2,2,3,2,3,2,2,3,2,3,3,1,3,3,2,3,3,3,2,3,2
moment_of_intensity_540_600_p1.mkv,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2
moment_of_intensity_540_600_p2.mkv,3,3,3,2,3,2,2,2,3,4,2,2,3,2,2,3,2,3,3,3,3,3,3,2,2,2
snow_monkeys_1080_1670_p1.mkv,2,3,2,3,4,4,4,4,4,3,5,3,4,3,4,4,2,4,4,4,4,4,3,3,3,3
snow_monkeys_1080_1670_p2.mkv,3,3,4,3,4,3,3,3,3,3,4,2,4,4,4,4,2,3,4,4,5,4,3,2,4,3
snow_monkeys_1080_350_p1.mkv,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2
snow_monkeys_1080_350_p2.mkv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snow_monkeys_1080_8000_p1.mkv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,4,5,5,5,5,5
snow_monkeys_1080_8000_p2.mkv,5,4,4,4,5,4,4,4,4,5,5,4,5,5,5,4,3,5,5,5,5,5,5,5,5,4
snow_monkeys_2160_10000_p1.mkv,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
snow_monkeys_2160_10000_p2.mkv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5
snow_monkeys_2160_3000_p1.mkv,4,3,4,3,4,3,4,4,3,5,5,5,4,4,5,4,2,4,5,5,5,4,4,4,4,4
snow_monkeys_2160_3000_p2.mkv,4,4,3,4,5,3,4,4,4,4,5,4,4,5,4,5,4,3,5,3,4,4,4,5,4,4
snow_monkeys_2160_5480_p1.mkv,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,5,4,4,5,4,4,5,5,5,5,5
snow_monkeys_2160_5480_p2.mkv,5,4,5,4,5,4,5,4,5,5,5,5,5,5,4,5,4,4,5,4,4,5,5,5,5,5
snow_monkeys_540_200_p1.mkv,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2
snow_monkeys_540_200_p2.mkv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2
