video_name,user1,user3,user4,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29,user30
BunnyAnimation.mkv_pass2_av1_1080p_2M.mkv,3,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,3,4,3,4
BunnyAnimation.mkv_pass2_av1_1080p_4M.mkv,3,5,3,4,4,4,3,4,4,4,3,5,5,3,5,3,5,5,5,4,4,4,4,5,5,4
BunnyAnimation.mkv_pass2_av1_1080p_8M.mkv,3,5,3,4,4,4,4,4,5,3,4,5,5,3,5,4,4,3,4,3,2,5,4,4,5,4
BunnyAnimation.mkv_pass2_av1_2160p_16M.mkv,3,5,3,3,4,5,5,5,4,4,3,5,5,3,5,5,5,2,4,5,3,4,5,5,5,4
BunnyAnimation.mkv_pass2_av1_2160p_4M.mkv,3,5,4,4,4,4,4,5,4,4,4,5,5,3,4,4,5,5,5,4,4,5,4,5,4,4
BunnyAnimation.mkv_pass2_av1_2160p_8M.mkv,3,5,4,4,4,4,5,5,4,5,4,5,5,3,4,5,5,4,5,3,3,5,4,5,5,4
BunnyAnimation.mkv_pass2_av1_360p_0.5M.mkv,2,2,2,2,4,2,2,2,2,2,2,3,2,3,4,1,2,2,1,2,1,2,2,2,2,2
BunnyAnimation.mkv_pass2_av1_360p_1M.mkv,2,3,2,2,3,3,2,3,2,3,2,2,4,2,3,1,3,2,3,3,3,3,2,3,2,2
BunnyAnimation.mkv_pass2_av1_360p_2M.mkv,2,3,3,3,3,3,2,3,4,3,3,2,4,2,3,1,3,1,2,3,2,3,2,3,3,3
BunnyAnimation.mkv_pass2_av1_720p_1M.mkv,3,4,3,3,4,4,3,3,3,4,3,4,5,3,3,3,4,2,4,3,2,3,3,4,3,3
BunnyAnimation.mkv_pass2_av1_720p_2M.mkv,3,4,3,4,4,3,3,4,4,3,3,5,5,3,4,3,5,3,3,4,2,4,4,5,4,3
BunnyAnimation.mkv_pass2_av1_720p_4M.mkv,3,4,4,3,4,4,3,3,4,3,4,4,5,3,3,3,4,4,4,3,3,4,4,5,3,4
BunnyAnimation.mkv_pass2_x265_1080p_2M.mkv,3,4,4,4,4,3,3,5,5,3,3,5,5,3,4,3,5,3,4,3,3,4,3,4,4,4
BunnyAnimation.mkv_pass2_x265_1080p_4M.mkv,3,4,3,3,4,4,3,4,4,3,4,5,4,3,5,4,5,4,4,4,4,5,4,5,4,4
BunnyAnimation.mkv_pass2_x265_1080p_8M.mkv,3,5,4,4,4,4,4,4,4,4,4,5,5,4,5,2,5,4,4,4,5,4,4,5,4,5
BunnyAnimation.mkv_pass2_x265_2160p_16M.mkv,3,5,4,4,4,5,5,5,4,4,4,4,5,3,5,5,5,4,5,3,3,4,5,4,5,5
BunnyAnimation.mkv_pass2_x265_2160p_4M.mkv,3,5,3,4,4,4,4,5,4,4,4,5,5,3,5,4,5,3,5,4,4,4,4,5,4,5
BunnyAnimation.mkv_pass2_x265_2160p_8M.mkv,3,5,4,4,4,5,5,5,5,4,4,5,5,4,5,5,5,4,5,3,4,5,4,5,4,4
BunnyAnimation.mkv_pass2_x265_360p_0.5M.mkv,2,1,2,2,4,2,1,3,2,2,2,3,3,2,2,1,2,2,2,2,1,3,2,2,1,2
BunnyAnimation.mkv_pass2_x265_360p_1M.mkv,2,2,3,3,3,3,2,3,2,2,2,3,3,2,3,1,3,1,2,2,2,3,3,2,3,2
BunnyAnimation.mkv_pass2_x265_360p_2M.mkv,2,3,3,2,4,3,2,3,3,3,2,2,4,3,3,1,3,2,2,2,1,3,3,2,2,4
BunnyAnimation.mkv_pass2_x265_720p_1M.mkv,3,3,3,3,4,3,3,3,3,3,3,4,4,3,4,2,5,2,3,3,3,4,3,3,2,3
BunnyAnimation.mkv_pass2_x265_720p_2M.mkv,3,4,3,3,4,3,3,3,4,3,3,5,5,3,4,3,4,3,3,4,2,4,3,4,3,4
BunnyAnimation.mkv_pass2_x265_720p_4M.mkv,3,4,3,4,4,4,4,4,4,3,4,4,5,3,4,2,4,3,3,4,2,4,4,4,4,4
CostaRica.mkv_pass2_av1_1080p_2M.mkv,3,4,2,3,4,3,2,2,3,2,3,4,4,2,3,2,3,2,2,2,2,2,3,2,2,3
CostaRica.mkv_pass2_av1_1080p_4M.mkv,3,4,3,5,4,4,4,4,3,3,3,4,5,4,5,3,4,3,3,3,2,3,4,4,3,4
CostaRica.mkv_pass2_av1_1080p_8M.mkv,3,4,3,5,4,4,4,3,4,4,5,4,5,5,5,4,5,3,4,4,3,4,3,5,3,5
