video_name,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29
AoE2_lynx_at_arms_1_480p.mp4,2,2,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,1,2
AoE2_tatoh_2_360p.mp4,2,2,3,2,2,3,2,2,2,3,3,2,2,3,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2
ApexLegends_dafran_2_1080p60.mp4,5,3,3,3,4,5,4,4,4,5,4,5,4,5,3,4,5,4,5,4,4,3,5,4,5,5,5,4,3
ApexLegends_kingrichard_1_1080p60.mp4,5,4,4,2,5,4,5,4,4,4,4,4,5,3,3,4,5,4,5,5,5,3,4,4,5,4,5,4,3
ApexLegends_kingrichard_2_480p.mp4,2,2,2,2,2,1,3,2,2,3,3,3,2,2,2,3,3,3,3,3,2,2,3,2,2,2,3,2,2
BindingOfIsaac_Afterbirth_johncutt_2_1080p60.mp4,4,2,3,2,5,5,5,4,2,2,4,3,4,5,4,5,5,5,2,4,4,5,4,5,3,5,5,4,5
BindingOfIsaac_Afterbirth_mclaffytaffy_1_160p.mp4,1,2,2,2,2,2,1,1,1,3,3,1,2,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,2
BindingOfIsaac_Afterbirth_mclaffytaffy_2_480p.mp4,3,1,3,3,4,5,4,3,3,3,5,3,2,4,3,4,4,4,2,3,4,3,4,3,4,3,4,3,3
Borderlands2_fistmaster5000_2_360p.mp4,3,2,3,2,2,1,3,2,2,2,3,2,2,3,2,2,2,3,3,2,1,3,3,2,2,2,2,2,2
Borderlands2_handiofiblood_1_1080p60.mp4,5,3,5,5,5,5,5,4,5,3,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5,4,5,4,5
Borderlands2_kalle_3_160p.mp4,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,1,1
CS_GO_dreamhackcs_2_720p60.mp4,5,4,4,5,5,5,4,4,5,5,4,5,4,4,3,4,3,4,4,4,4,3,5,3,4,4,4,3,4
CS_GO_dreamhackcs_3_160p.mp4,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1
CS_GO_omenbyhpeurope_3_720p.mp4,3,3,3,3,3,4,4,3,4,5,4,3,4,4,3,4,3,4,4,3,4,4,4,3,4,3,4,3,3
Celeste_game_psych_2_160p.mp4,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2
Celeste_nero_x2_720p60_alt.mp4,4,2,3,2,4,4,5,4,3,1,5,4,3,4,4,5,4,2,2,3,3,4,4,3,4,4,5,3,3
Celeste_ssongtail_1_480p.mp4,3,2,2,1,3,5,4,4,3,3,4,3,4,3,3,4,3,3,1,3,3,3,5,3,3,4,4,4,3
CoDBO4_crowder_2_720p.mp4,4,2,2,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,4,2,5,2,4,3,3,2,2
CoDBO4_powerunlimited_2_480p.mp4,3,2,3,3,3,4,4,3,4,4,3,3,4,4,2,3,3,4,4,3,4,3,3,3,4,3,3,2,2
CoDBO4_tmemoryy_1_360p.mp4,3,2,2,2,2,1,2,2,2,4,2,2,2,2,2,3,2,2,3,2,3,2,3,2,4,2,3,2,2
Cuphead_lleytonic_3_160p.mp4,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cuphead_sirkoffzalot_2_720p60_alt.mp4,3,2,3,4,4,4,4,3,3,3,4,4,2,4,3,4,3,4,2,4,3,3,4,3,4,3,4,3,3
Cuphead_xtstaller_3_1080p.mp4,3,2,3,4,3,4,4,3,3,4,4,4,2,4,3,4,3,4,2,3,4,4,5,4,4,4,4,3,3
DMC5_thorw_1_720p.mp4,4,2,3,3,3,2,3,2,3,3,3,3,3,2,2,3,4,3,4,3,3,3,4,3,4,4,3,2,3
DMC5_thorw_3_1080p60.mp4,5,3,3,3,5,3,5,3,5,4,4,5,5,4,4,4,4,4,5,5,4,4,4,4,5,5,5,3,4
DS3_honeygg_1_160p.mp4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS3_honeygg_3_720p_alt.mp4,4,1,2,2,2,3,3,2,3,4,2,3,3,3,2,2,3,3,4,3,3,2,3,2,3,3,3,3,3
DS3_vanhexa_2_360p.mp4,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,1,2,3,2,3,3,3,1,2
DeadCells_neonomi_1_160p.mp4,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
DeadCells_shakeron_2_720p.mp4,4,2,3,3,4,4,5,3,3,3,5,3,4,3,4,5,4,3,2,3,3,4,5,2,5,4,5,4,3
DeadbyDaylight_brother_cope_1_720p_alt.mp4,5,3,3,2,3,3,4,3,3,4,4,3,4,3,3,3,3,4,4,3,3,3,5,3,4,4,4,3,3
DeadbyDaylight_melharucos_1_360p.mp4,4,2,2,4,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,2,3,3,3,2,4,3,3,2,2
DeadbyDaylight_melharucos_3_360p.mp4,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,2,2,3,2,3,2,3,2,2
Devision2_likebutterlive_2_160p.mp4,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
Devision2_streamerhouse_1_720p60.mp4,5,3,3,4,5,4,4,3,4,4,4,4,4,4,3,4,4,4,5,5,3,3,5,4,4,4,4,3,4
Devision2_zgphoto_3_720p.mp4,3,2,3,3,2,3,3,3,3,4,3,3,3,3,2,3,3,3,4,3,4,3,2,3,4,3,4,2,3
Diablo3_d3helicopter_3_1080p60.mp4,3,3,4,4,5,5,5,4,5,5,5,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,4,5
Diablo3_mr_blo_480p.mp4,3,2,2,3,3,2,4,3,2,3,3,3,3,3,2,2,3,2,3,3,3,3,2,2,3,3,4,2,3
DontStarveTogether_fly_diiqqiidy_1_160p.mp4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DontStarveTogether_maveco_3_720p60.mp4,4,3,4,4,5,5,5,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,4
Dota2_beyondthesummit_1_720p60.mp4,3,3,3,3,5,4,4,3,4,4,4,4,4,1,3,3,4,3,3,4,4,3,5,4,4,4,4,3,5
Dota2_singsing_2_480p.mp4,4,2,2,2,4,3,3,3,3,3,3,3,2,4,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3
EnterTheGungeon_jetsetjacked_1080p60.mp4,3,2,4,4,5,5,5,5,3,4,5,5,5,5,5,5,5,5,2,4,5,5,5,3,4,5,5,5,4
EnterTheGungeon_shark2157_2_360p.mp4,3,1,2,4,3,3,3,3,2,3,3,2,3,3,2,2,3,3,2,2,3,3,3,3,4,3,4,2,3
Fortnite_solaryfortnite_1_720p60.mp4,3,2,2,4,2,2,2,1,1,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3,2,2
Fortnite_symfuhny_3_360p.mp4,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1
GTA5_anomaly_2_360p.mp4,3,2,3,2,3,2,3,2,3,3,3,2,3,4,2,3,3,3,3,2,3,3,3,2,3,3,3,2,2
GTA5_shoxx__1_1080p60.mp4,3,4,3,4,4,4,4,3,4,5,3,4,4,3,5,4,4,5,4,4,3,3,5,3,5,4,4,4,4
GearsOfWar_abolics_1_720p.mp4,5,3,3,4,5,4,5,4,4,5,4,4,5,4,4,4,5,4,5,4,5,3,3,4,5,4,5,4,3
GearsOfWar_nabretv_3_160p.mp4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1
GearsOfWar_xdevastator_1_720p60.mp4,5,4,4,4,3,5,5,3,4,5,5,5,4,5,4,4,4,2,5,4,4,3,4,3,5,4,5,4,4
HeroesoftheStorm_khaldor_1_720p60.mp4,4,3,2,3,3,3,4,4,3,3,3,4,3,5,3,4,4,4,3,5,4,3,4,3,5,4,5,3,3
HeroesoftheStorm_khaldor_3_720p.mp4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,3,4,4,4,3,4,2,3,4,3,4,4,4,3,4
HeroesoftheStorm_leonblack_1080p60.mp4,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5
HollowKnight_ax2u_1_720p60.mp4,5,2,4,5,5,5,5,4,4,5,5,4,5,5,4,5,5,4,4,4,5,4,5,3,5,5,5,4,5
HollowKnight_ax2u_3_160p.mp4,1,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,2
IWannaBeTheGuy_liftedtech__1_360p.mp4,2,2,3,4,3,3,4,3,3,3,4,3,3,3,3,4,3,2,2,3,4,3,3,3,3,3,4,3,4
IWannaBeTheGuy_sudalv_2_160p.mp4,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
LeagueOfLegends_jovirone_3_720p.mp4,5,2,3,4,5,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,5,5,4,4,4,3,4
LeagueOfLegends_llstylish_1_1080p60.mp4,5,3,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5
MassEffect_arcadeterol_3_480p.mp4,3,2,2,3,2,3,3,3,2,3,3,3,3,2,2,3,3,4,4,2,3,2,3,2,3,3,3,2,2
MassEffect_lolhank_1_720p60.mp4,4,3,4,5,5,5,5,4,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,4,5,4,3
Minecraft_aureliensama_3_480p.mp4,3,2,3,3,3,3,4,3,2,2,3,4,3,3,2,4,3,3,3,3,2,3,3,4,4,3,4,3,3
Minecraft_cwelth_1_360p.mp4,2,1,2,2,3,3,3,2,2,2,2,1,1,2,2,3,2,4,2,3,2,3,3,3,2,3,3,2,3
Overwatch_a_seagull_2_720p60.mp4,5,4,3,5,4,5,4,4,5,4,4,4,4,4,3,3,4,4,4,4,4,3,5,4,4,4,4,4,4
Overwatch_harbleu_2_360p.mp4,3,2,2,2,2,1,2,2,1,2,2,2,3,3,2,2,1,2,2,1,1,1,2,1,2,2,1,1,2
Overwatch_kabajiow_2_160p.mp4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PUBG_mithrain_2_720p.mp4,4,4,4,3,4,5,4,3,4,4,5,4,4,3,3,4,4,4,5,4,4,4,4,3,4,3,4,3,3
PUBG_tsm_aimpr_1_360p.mp4,2,2,2,2,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,2,2,3,2,3,2,3,1,2
