video_name,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27
A_Sci-Fi_Short_Film_UHD_4K_-_Telescope_-_by_The_Telescope_Team.1280x720.vp9.none.mkv,5,4,3,4,4,4,3,4,4,4,3,3,4,4,5,3,3,5,4,4,4,4,4,3,4,5,4
A_Sci-Fi_Short_Film_UHD_4K_-_Telescope_-_by_The_Telescope_Team.1920x1080.vp9.none.mkv,5,5,4,4,4,4,4,4,4,5,4,4,3,5,4,5,4,4,4,4,4,5,5,4,5,5,5
A_Sci-Fi_Short_Film_UHD_4K_-_Telescope_-_by_The_Telescope_Team.2560x1440.vp9.none.mkv,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,4,5
A_Sci-Fi_Short_Film_UHD_4K_-_Telescope_-_by_The_Telescope_Team.256x144.vp9.none.mkv,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2
A_Sci-Fi_Short_Film_UHD_4K_-_Telescope_-_by_The_Telescope_Team.3840x2160.vp9.none.mkv,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5
A_Sci-Fi_Short_Film_UHD_4K_-_Telescope_-_by_The_Telescope_Team.426x240.vp9.none.mkv,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1
A_Sci-Fi_Short_Film_UHD_4K_-_Telescope_-_by_The_Telescope_Team.640x360.vp9.none.mkv,4,2,3,2,2,3,3,3,2,2,4,2,1,3,3,2,2,3,3,3,2,3,3,2,4,3,2
A_Sci-Fi_Short_Film_UHD_4K_-_Telescope_-_by_The_Telescope_Team.854x480.vp9.none.mkv,4,2,3,3,3,4,3,3,3,3,5,3,2,3,3,2,3,4,3,3,3,4,3,3,3,3,3
Big_Buck_Bunny_60fps_4K_-_Official_Blender_Foundation_Short_Film.1280x720.vp9.none.mkv,4,4,5,4,4,5,3,4,4,4,4,4,2,4,4,4,3,5,4,3,4,4,4,3,5,3,4
Big_Buck_Bunny_60fps_4K_-_Official_Blender_Foundation_Short_Film.1920x1080.vp9.none.mkv,5,5,2,4,4,3,4,4,4,4,5,4,4,4,5,2,4,5,4,4,4,5,5,4,5,5,4
Big_Buck_Bunny_60fps_4K_-_Official_Blender_Foundation_Short_Film.2560x1440.vp9.none.mkv,5,5,5,4,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
